Sentence,Word,Meaning,Source
تجدل الأمهات شعر أطفالهن الصغار حتى يطول…,جدل,ضفَر او فتل,lexicon.alsharekh
"بدأ بابا الفاتيكان فرانشيسكو الاثنين جولة آسيوية لمدة ستة أيام تشمل كلا من بورما (ميانمار) وبنغلاديش ""لدعم المجتمع الكاثوليكي"". علما أن أزمة الروهينغا ستغيب على جدول أعمال البابا خلال لقاءاته بسلطات ميانمار.",جدول,قائمة تضم أهم الموضوعات المطروحة في اجتماع ما,aljazeera
علنت وزارة التربية والتعليم، الأحد، جدول امتحان شهادة الدراسة الثانوية العامة لعام 2022/ الامتحان التكميلي. وقالت الوزارة إن أول أيام الامتحان سيكون الثلاثاء الموافق 27 كانون الأول 2022، وآخر أيام الامتحان الاثنين 16 كانون الثاني 2023، وستبدأ الجلسة الأولى في تمام الساعة الحادية عشرة صباحًا في حين ستبدأ الجلسة الثانية في تمام الساعة الثانية ظهرًا.,جدول,شكل يحتوي على مجموعة من البيانات بشكل مختصر.,arabia weather
في البدء كان الماء، كان يكفي الإنسان حين تتسخ يداه أن يمدهما في جدول ماء جارٍ، لينظّفهما باستخدام الماء، أول منظف عرفه الإنسان.,جدول,المجرى المائي الصغير,aljazeera
يختلف الوقت الذي تستغرقه شقوق العملية القيصرية للالتئام من امرأة إلى أخرى، حيث هناك بعض العوامل التي قد تبطئ أو تعيق عملية الالتئام، مثل سوء التغذية أو العدوى. لذلك يساعد الحفاظ على حالة الجرح وصحة الجسم بعد الولادة في التئامه بشكل أسرع.,جرح,الشق في البدن,Altibbi
"لكن ""لو"" ترفض عرض نيتشه، هذا الرفض سيتكرر لأكثر من مرة فيما بعد، ولنا أن نتخيل أثر ذلك الرفض العاطفي لرجل له كبرياء وحساسية نيتشه. حمل جرحه معه بعيدا عن العالم، صار أكثر انعزالا ووحدة من ذي قبل، وفي عمق عزلته الباردة راح يتحدث مع أشباح لا يراها غيره",جرح,حزن او الم,aljazeera
"وكان ""علم الجرح والتعديل"" قد واجه سؤالاً حول مشروعيته بادئ الأمر؛ إذ إنه يندرج ضمن أصل أخلاقي عام، وهو حرمة الغيبة التي هي ذِكرُك أخاك بما يكره",جرح,الإساءة إليه بالقول أو الفعل,aljazeera
الإنسان بطبيعته يميل ويحب ما يُمنع منه، فإذا نجح الصائم في السيطرة على هاتين الغريزتين 30 يوما، فهو قادر على قيادة نفسه أمام عاداتها وشهواتها وقيادتها نحو ما فيه خيره وسعادته وإعماره للأرض، وهي مهمته الأولى والرئيسية، وهذا هو جوهر الإنسانية في أبهى صورة له.,جوهر,أساس الشيء أو حقيقته وذاته,aljazeera
"تعدُّ الجوهرة الزرقاء التي تسمّى ماسة الأمل أو""Hope Diamond"" واحدةً من أكثر الجواهر شهرةً في العالم، يرجع تاريخ ملكيتها إلى أربعة قرون، كما تتميز بلونها الأزرق الذي لقبت به على مر العصور، يبلغ وزنها الحالي قرابة 46 قيراطاً.",جوهر,النفيس الذي تُتَّخذ منه الفصُوص ونحوها,arabic post
تقع هذه الكنيسة البيضاء في حي كاسترو وهو أقدم قسم في مدينة ميكونوس، وتعتبر الأكثر إثارة للإعجاب من بين جميع الكنائس الموجودة في جزيرة ميكونوس، فهي جوهرة معمارية بيزنطية حقيقية يعود تاريخ بداية بنائها إلى عام 1425 ولم تكتمل حتى القرن السابع عشر.,جوهر,صفة تُستخدم لوصف شيء جميل وفريد من نوعه,arabia weather
عندما نكتب قصة حب جميلة لا يسأل النص الروائي عن صدقه وعن إمكاناته الإيصالية,حب,ميل النفس مع العقل ، فإذا تجاوز العقل فهو العشق,lexicon.alsharekh
فبالإضافة إلى فيتامين C فإن حب الرشاد يعتبر من النباتات الغنية بفيتامين K الذي يساعد على تعزيز صحة القلب والأوعية الدموية، ويمنع تكلس الشرايين,حب,جمع حَبّة,Altibbi
حب الشباب (بالإنجليزية: Acne Vulgaris) هو أحد المشكلات الجلدية الشائعة، والذي ينجم عن انسداد مسامات البشرة (بصيلات الشعر) بسبب تراكم الزيوت، وخلايا الجلد الميتة، والعرق فيها.,حب,بثور,Altibbi
" ""ملاحظة أخيرة كي يكون الأمر واضحا للكل: أنا الآن حر بالسراح المؤقت، أدعو الله تعالى بالفرج بمحكمة الاستئناف كي أنتهي من هذه القصة وأنجح في هذا الاختبار الإلهي، اللهم قوي إيماننا و صبرنا مهما كانت الظروف..",حر,طليق، غير مقيد‏.,cnn arabia
انظروا حال بعض أطفال سوريا يتعلمون في مخيم لا يقي من حر الصيف ولا برد الشتاء...,حر,سخونة، وحرارة.,lexicon.alsharekh
هم يحق لهم العيش في مجتمع حر بينما يعيش الفلسطينيون في العبودية.,حر,مستقل‏، يحكم نفسه بإرادته لا يتحكم فيه مستعمر.,cnn arabia
حسب باحثون وزن المجال التقني للأرض (بالإنجليزية: Technosphere) بـ30 تريليون طن، وهو ما يساوي أكثر من 50 كليو لكل متر مربع من سطح الكوكب.,حسب,عدّه وأحصاه,Reverso Dictionary
يوصي المجلس الأمريكي للتمارين بنسبة مختلفة من الدهون بحسب جنس الشخص ونشاطه البدني، كما هو موضح أدناه: الرياضيون: الذكور (6-13%)، الإناث (14-20%). غير الرياضيين (يتمتعون بالرشاقة): الذكور (14-17%)، الإناث (21-24%). النسب المقبولة أو الطبيعية: الذكور (18-25%)، الإناث (25-31%). الوزن الزائد: الذكور (26-37%)، الإناث (32-41%). السمنة: الذكور (38% فأكثر)، الإناث (42% فأكثر).,حسب,وَفقًا لـ,Altibbi
ولم تكن وظيفة ريام كساردة المشاركة أو المراقبة أو الإخبار حسب؛ بل كانت وظيفتها توجيه المسرودات أولا وتحريك الزمن ثانيا والقفز على السرد إلى خارجه بمقاطع ميتا سردية ثالثا وكل ذلك مرهون بكينونتها المؤنثة التي كانت تخاتل الآخرين لأجل اكتشاف الأسرار، وقد تغالب أهواء نفسها لتوكيد فاعلية دورها محاولة صنع قدرها بنفسها مرغمة الآخريات على تغيير مسارات اعتدن ارتياد مسالكها وألفن العيش والتعاطي معها باستسلام ورضوخ.,حسب,اسم فعل أمر بمعنى فقط، لا غير,nizwa
ذلك ما صرّح به راوي أقصوصة «ورقة من غزّة» وهو يعود ناديا ابنة أخيه في المستشفى بعد أن بترت ساقها :»كنت أعرف أنّ في الأمر شيئا أخفته عنّي أمّي وزوجة أخي، شيئا لم تستطيعا أن تقولاه بألسنتهما… شيئا عجيبا لم أستطع أن أحدّد أطرافه البتّة ! لقد اعتدت أن أحبّ ناديا، اعتدت أن أحبّ كلّ ذلك الجيل الذي رضع الهزيمة والتشرّد، إلى حدّ حسب فيه أنّ الحياة السعيدة ضرب من الشذوذ الاجتماعيّ»,حسب, ظَنَّهُ، اِعْتَبَرَهُ,nizwa
القَزَع: مصطلح يشير إلى التّفاوت في حلق شعر الرأس، وذلك بأنْ يُحلق بعضه وُيترك بعضه الآخر...,حلق,قص الشَّعْر أو إزالته.,lexicon.alsharekh
قتل عاطل بأسون ربة منزل بسبب حلق من الذهب...,حلق,ما يُعلَّق في شحمة الأذن من ذهب ونحوه للزينة.,lexicon.alsharekh
وقد أثمرت جهودهما عن إنتاج الطائرة ‘‘بيل إكس-1‘‘، وفي عام 1947، أصبح تشاك ييغر، بعد أن حلق بالطائرة في أول تجربة لها، فوق صحراء خالية تقع جنوبي كاليفورنيا، أول إنسان يصل إلى سرعة 1 ماخ.,حلق,حَلَّقَ الطائرُ ونحوه: ارتفع في طيرانه واستدار.,bbc arabia
تكون نتائج مسحة الحلق جاهزة خلال يومين إلى خمسة أيام، و بمجرد أن يتم نمو البكتيريا بعد زراعتها وتحليل النتيجة ييقوم الطبيب بإخبار المريض بها.,حلق,جزءٌ من القناة الهضميَّة يوصَل ما بين الفم والمريء، وهو مَسَاغ الطعام والشراب إلى المرِيء.,Altibbi
اندثرت البئر ذات مرة في العصر الجاهلي ولم يكتشفها أحد وقبل دخول الإسلام حلم جد الرسول عليه الصلاة والسلام عبد المطلب آنذاك بمن يدله على مكان البئر ويطلب منه فتح البئر وقد استيقظ وركض مهرولاً إلى جانب الكعبة وحفر في المكان الذي رآه في منامه حتى تحققت الرؤيا وتولى بنفسه سقايتها.,حلم,رآه في نومه,arabia weather
عانت عائشة جولهان جيلر من اضطراب ما بعد الصدمة، حتى إنها ما إن رأت في حلمها أن زلزالاً جديداً وقع في مدينة هاتاي التي تسكن فيها، أسرعت فوراً لتلقي بنفسها من شرفة المنزل.,حلم,ما يراه النائم في نومه,alqabas
وفيما نتذكر كل ضحايا الحرب العالمية الثانية والمحرقة ونتذكر المقاومة والقمع في فترة ما بعد الحرب، يحدونا الأمل أن يصبح الحلم والتسامح من المبادئ العالمية للعلاقات في ما بين الدول ومواطنيها.,حلم,تَعَقُّل‏، أناة.,Reverso Dictionary
وكانت هناك رغبة كبيرة من جانب وليد سليمان لتحقيق حلم انتقاله للأهلي، ووصل الأمر للضغط على مسؤولي إنبي ووزارة البترول المصرية، حتى انتهى به المطاف في المستشفى، متأثرا بوعكة صحية من شدة التعب.,حلم,رغبة أو أمنية أو هدف,arabia weather
يتم حساب حمل الأنابيب اعتماداً على تاريخ نقل الأجنة وتحديد موعد الولادة، بإضافة 38 أسبوع إلى تاريخ النقل ومن ثم طرح عمر الجنين المنقول، فإذا تم نقل الجنين في يومه الثالث فيجب طرح ثلاثة أيام من 38 أسبوع، أما في حالة نقل الجنين في يومه الخامس عندها يجب طرح 5 أيام من 38 أسبوع.,حمل,مُدَّة تكون فيها صغار الثدييات في أرحام أمهاتها.,Altibbi
"حمل أسامة ابنه وأخذ يركض ليتعرض هو للعرقلة الشهيرة من المصورة ""لم أكن أتصور أنها المصورة الصحفية. هل من المعقول أن يتصرف صحفي على هذا الشكل"" يعلق أسامة.",حمل,رَفَعَه.,aljazeera
من الطبيعي أن يكون للمولود الجديد الحاجة للاتصال بجسد أمه بعد أن قضى تسعة أشهر من حياته في أحشائها، فحمل الرضيع بالقرب من صدرك بطريقة دافئة وآمنة سيحيطه بهالة من الأحاسيس التي ستذكره بحياته داخل الرحم، حيث سيكون قادراً على اشتمام رائحتك، والشعور بنبضات قلبك، وسيشعر الثقة بالعالم من حوله من خلال ضمه برفق إلى صدرك، وهذه هي أفضل طريقة لمساعدته على أن يصبح أكثر استقلالية في المستقبل.,حمل,رَفْعه عن الأرض,Altibbi
الحمل هو حيوان ثديي من الأغنام ويتبع عائلة الأبقار ، ويعيش في البراري والأراضي العشبية ، وهو كبش وخروف صغير ، وتبدأ هويته في الظهور عندما يبلغ من العمر سنتين إلى خمس سنوات.,حمل,صغير الضأن.,3rabawy
أي مصيبة أعظم من عدم المحافظة على الصلاة!!. ونقول للسائل: لم لا تصلي؟ ألا تخاف من الله؟ ألا تخشى الموت؟. أما تعلم أن أول ما يحاسب عليه العبد يوم القيامة الصلاة، كما قال الرسول صلى الله عليه وسلم: ‘‘أول ما يحاسب عليه العبد الصلاة، فإن صلحت فقد أفلح وأنجح، وإن فسدت فقد خاب وخسر‘‘ رواه الترمذي وحسنه، وأبو داود والنسائي.,خاب,أخفقَ، فَشِل.,islamway
أعرب الرئيس التركي أنه قد خاب أمله إزاء موقف إدارة الرئيس الأميركي باراك أوباما حيال الأزمة السورية... ,خاب,حُرِم مما كان يرجو,lexicon.alsharekh
لا تبكي على زمان طال العمر فيه ولكن ابكي على صديقا خاب الظن فيه...,خاب,حَدَثَ منه خلاف ما يُتوَقَّع من فعل,lexicon.alsharekh
جريمة فندق الإسكندرية.. خدّر أطفاله وأغرقهم تاركاً رسالة,خدر,خَدَّرَ الطبيبُ المريضَ: أعطاه مادة مخدِّرة؛ لتعطيل إحساسه.,alarabiya
والخمر يخدر العقل ويغيبه فكان من الحكمة والعظمة تحريمها...,خدر,خَدَّرَ الشرابُ فلانًا: سبب له الفتور والاسترخاء.,lexicon.alsharekh
خدر الأطراف هو إحساس غير طبيعي يمكنه إصابة أي جزء من الجسم، ولكنه يصيب بصفة خاصة كل من الأصابع واليدين والساعدين والقدمين والساقين، وهو غالبا ما يترافق مع الإحساس بوخز دبابيس وإبر و”تنميل” وحرق، بالإضافة إلى ضعف في الساعد أو اليد أو القدم أو الأصابع.,خدر,كسَل، وفتور يصيب الجسم.,Shifaa
بحسب الصحيفة، فإن أميتاي دان، الباحث في أمن المعلومات، كان أول من كشف عن هذه الثغرة الأمنية، وطالب جهاز الشاباك والمسؤولين عن أمن رئيس وزراء حكومة الاحتلال الإسرائيلي بالتحقيق في القضية، وفهم كيفية حدوث هذا الخرق.,خرق,القانون: تجاوزه، وتخطيه بارتكاب جرم يُعاقِب عليه القانون.,arabic post
في حال خرق القرحة لجدار المعدة تصبح في غاية الخطورة، وستفرغ المعدة عندها جميع محتوياتها في الكتف البطني، ومن ثم يبدأ التهاب الصفاق.,خرق,إحداث شقٍّ أو فرجة في الجدار ونحوه.,Altibbi
اتهمت حكومة نيبال المتمردين الماويين السابقين بخرق اتفاقية سلام أنهت تمردا استمر لمدة عقد في تلك الدولة الواقعة في الهيمالايا.,خرق,العهد ونحوه: نَقْضه، ومخالفته.,aljazeera
ينبغي لكل شخص أن يعامل الآخرين باللطف والمروءة، فهذا يعد من خلق الإنسان الحسن.,خلق,سَجِيَّة، وطَبْع,lexicon.alsharekh
ترامب: أنا أكثر البشر الذين خلقهم الله.. صِدقاًلقد خلق الله الإنسان خلقاً جمع بين المادة والروح، ولقد أثبتت بحوث العلماء التي تم إجراؤها على هذا المخلوق أنه مكون من جسم مادي وروح شفافة، جسم مشدود إلى الأرض وروح تتطلع إلى السماء، جسم له دوافعه وشهواته وروح تسمو به نحو الله، جسم له مطالب الحيوان، وروح لها أشواق الملائكة، ونفس لها طبيعة مزدوجة تحتوي على معنويات الخير والشر، والتقوى والفجور,خلق,أبدعَه، وأوجده من عدم,aljazeera
يساهم كل من الصيام ونظام الأكل منخفض الكربوهيدرات في خلق وسط مليء بالكيتونات وهي مواد كيميائية يفرزها الكبد في جسم الإنسان لإنتاج الطاقةّ، مما يتسبب في رائحة الفم الكريهة.,خلق,إبداع، إيجاد من عدم,Shifaa
 تحمل ليالي شهر رمضان المبارك هذا العام فرصة لرصد عدد من الأحداث الفلكية الممتعة بالعين المجردة دون الحاجة إلى أدوات فلكية متخصصة، ما يذكرنا بعظمة خلق الله في الكون، ومن هذه الأحداث وصول كوكب عطارد في أقصى استطالة شرقية له مساء يوم الثلاثاء، فماذا يعني ذلك؟,خلق,كل مخلوق,arabia weather
الطائف على الكعبة : حقيقة أنها دار حول نفسه وحول الكعبة كدوران القمر حول الأرض ولهذا لا نشاهد إلا وجهاً واحداً للقمر,دار,طافَ حول الشيء او أو تحرك,arabia weather
"بينما دار نقاش آخر حول كتاب ""طرق الحرير، تاريخ جديد للعالم"" للمؤرخ البريطاني بيتر فرانكوبان (ولد في عام 1971) وهو مؤرخ بريطاني معروف، وأستاذ التاريخ العالمي في جامعة أكسفورد، وكاتب مقالات ومساهمات منتظمة في نيويورك تايمز والغارديان وتشاينا ديلي، وكتبه دائما ضمن قائمة الكتب الأكثر مبيعا",دار,دَارَ الكلامُ بينهم: تبادلوه,aljazeera
كتبت هانا ماليار نائبة وزير الدفاع الأوكراني -عبر تطبيق تليغرام- أن قتالا عنيفا دار أمس الخميس في جميع المناطق على الجبهة الشرقية، وأضافت أن قوات موالية لكييف تصدت للهجمات في أغلب تلك المناطق.,دار,جرى وحَدَثَ,aljazeera
“اللهم اجعلنا هادين مهتدين، غير ضالين ولا مضلين، سلمًا لأوليائك، وحربًا على أعدائك، اللهم يا ذا الحبل الشديد، والأمر الرشيـد، أسألك الأمن يوم الوعيد، والجنة دار الخلود مع المقربين الشهود، الركع السجود، الموفين بالعهود، إنك رحيم ودودٌ، وإنك تفعل ما تريد”.,دار,مسكن او منزل او بناء,arabia weather
مثلما نتناول وجباتنا المفضلة خارج المنزل، تلتهم أيضا تلك المطاعم جزءا ضخما من الميزانية شهريا، فأنت مضطر ليس فقط لدفع قيمة الوجبة، وإنما المساهمة في دفع أجور العمال وإيجار المطعم وفواتير الكهرباء والنظافة,دفع,إعطاء الدائن ماله، قَامَ بِدَفْعِ مَا عَلَيْهِ,aljazeera
ولكنه ذهب في النهاية وفعلها ويبدو بأن علاقاته كانت جديدة جداً مع هؤلاء أصحاب الفروع. المهم سيقول له أنه لم يخرج من تلك الورطة إلا بعد تدخل أحد الأشخاص الذي دفع مبلغاً ليس بالقليل مقابل الإفراج عنه ..,دفع,دَفَعَ فلانُ المال أو الدَّينَ: أدَّاه وسدده,alarabi
بدأت مسيرة نتفليكس مع السلاسل الوثائقية الطويلة في عام 2015، مع سلسلة ‘‘صناعة القاتل‘‘، والتي حظيت بنجاح شعبي هائل، دفع الشركة الأمريكية إلى مزيد من الاستثمار في إنتاج السلاسل الوثائقية التي تدور كل واحدة منها حول موضوعة معينة، وتتألف من عدة حلقات، لتتبع الشركة عملها الأول الضخم ببرنامج تسجيلي ثان حمل عنوان: ‘‘الحراس‘‘ (حظي بنجاح نقدي أقل من العمل السابق، فيما يبقى عدد مشاهدي البرنامج غير معروفة، اذ تمتنع نتفليكس عن الافصاح عن أرقامها).,دفع,دَفَعَ فلانٌ أو كذا فلانًا: حَفَّزَهُ وشجَّعَهُ.,aljazeera doc
حصل المرشح الجمهوري مت رومني على قوة دفع كبيرة في حملته لنيل ترشيح حزبه له في انتخابات الرئاسة عندما أعلن جون ماكين عن مساندته له وسط ارتفاع حرارة المنافسة بين المرشحين أمس الأربعاء، حيث فاز رومني على أقرب منافسيه بفارق ثمانية أصوات فقط في انتخابات ولاية أيوا.,دفع,تحفيز وتشجيع,aljazeera
الدعاء من العبادات التي جعل الله تعالى لها أهمية كبرى في حياة المسلم، لما لها من أثر كبير في الدنيا بدفع البلاء ورفع المصائب، وفي الآخرة من أجر كبير وثواب جزيل، ولذلك نرى أن النصوص القرآنية قد أمرت بها وحثت عليها، بل جاء التخويف من تركها والإعراض عنها، قال تعالى: {وقال ربكم ادعوني أستجب لكم إن الذين يستكبرون عن عبادتي سيدخلون جهنم داخرين} [غافر: 60],دفع,"إبعاد, تنحية",aljazeera
على الجانب الأخر، بلغ التوتر حول القضايا الاقتصادية بين البلدين أوجه عندما فرضت إدارة ترمب تعريفة جديدة بنسبة 10 في المائة على سلع صينية بقيمة 200 مليار دولار في الأسبوع الماضي، مما دفع الصين إلى إعلان تعريفة على 60 مليار دولار من السلع الأميركية.,دفع,اضطره إليه.,aawsat
أكدت مؤسسة أمراض الكبد الألمانية أن‬ ‫إجراء بعض التغييرات البسيطة على أسلوب الحياة يعود بالنفع على صحة‬ ‫الكبد، فعلى سبيل المثال يمكن الحفاظ على صحة الكبد من خلال استبدال‬ ‫دقيق الحبوب الكاملة بالدقيق الأبيض، مع الإكثار من الخضروات والفواكه.‬,دقيق,مسحوق أبيض ناتج عن طحن الحبوب كالقمح والذرة، ويقال له في بعض البلاد : طحين.,aljazeera
تمر البحرين بظرف سياسي واقتصادي دقيق، وأحكام الإعدام تزيد من تعقيد المشهد...,دقيق,صعب، وغامض‏.,lexicon.alsharekh
"في بحث نشر في دورية ""إينرجي آند إنفايرومنتال ساينس"" (Energy & Environmental Science)، قام باحثون من ""جامعة كمبريدج"" (University of Cambridge) في المملكة المتحدة باستخدام أنواع منتشرة من الطحالب الخضراء المزرقة لتشغيل معالج حاسوب دقيق بشكل مستمر لمدة عام باستخدام لا شيء سوى الضوء المحيط والماء",دقيق,محكَم، ومضبوط‏.,aljazeera
بينت دراسة قامت بها رابطة أمراض الحساسية وداء الربو الألمانية أن استعمال الحصائر والسجادات في البيوت يزيد من خطر ارتفاع نسبة الغبار الدقيق -الذي يرتبط بحشرات القراد- في البيوت، مقارنة بالبيوت التي تكون أرضيتها من الحجر أو الخشب أو مواد أخرى,دقيق,ضئيل الحجم.,aljazeera
يُصفى الزيت من الجرجير و يتم دهن الزيت على الشعر بشكل جيد، ولا بد من الاهتمام بتدليك فروة الرأس جيدا ثم غسل الشعر بالماء والشامبو. ,دهن,دهن الشعر ونحوه: تدليكه,arabia weather
يتم دهن الجدار إما بفرشاة الدهان أو الاستعانة بماكينة رش لتغطية أفضل,دهن,دهن الجدار ونحوه: طلاؤه,lexicon.alsharekh
ونظرا لتقدم علوم تغذية الحيوان تدريجيا ومعرفة نظريات التسمين وتكوين الدهن وأهمية جودة اللحوم بدأت تنتشر المزارع المتخصصة لتربية وتسمين حيوانات اللحم الكبيرة و الصغيرة .,دهن,مادة زيتية دسمة,ainagri
بحسب البيانات التي نشرها المنتدى الاقتصادي العالمي لعام 2019، تهيمن المسيحية على الأميركيتين وأوروبا والنصف الجنوبي من أفريقيا، بينما يعدّ الإسلام الدين الأوسع انتشارا في سلسلة من البلدان تمتد من شمال أفريقيا عبر الشرق الأوسط إلى إندونيسيا.,دين,اسم عام لجميع المعتقدات والملل التي يُتَعَبَّد بها إلى الله سبحانه وتعالى.,aljazeera
مرر مجلس النواب الأميركي في وقت متأخر الأربعاء مشروع قانون لرفع سقف الدين العام في الولايات المتحدة، بعد أن تجاوز البيت الأبيض السقف الحالي البالغ 31.4 تريليون دولار.,دين,مبلغ مالي يقترضه الشخص من شخص آخر على أن يسدده آجلا.,aljazeera
تعد الصلوات والأذكار والعبادات المختلفة جزءًا لا يتجزأ من خياة هذا الشخص الديّن الذي يحرص على تطبيقها بشكل يومي.,دين,مُتَمَسِّكٌ بِأَهْدابِ الدِّينِ,gpt
كشفت إدارة الطيران والفضاء الأميركية (ناسا) أن مناطق جليدية شاسعة بالقطب الجنوبي المتجمد ذابت صيف عام 2005 بفعل ارتفاع درجات الحرارة مدة أسبوع.,ذاب,ذَابَ الثلجُ ونحوه: سال عن جموده.,aljazeera
رأت الصحيفة أنه حتى لو لم يقر المشروع الفلسطيني في مجلس الأمن بسبب الفيتو الأمريكي، وحتى لو ذاب مثلما ذابت مبادرات سابقة فإن القيادة الفلسطينية اقتطفت منذ الآن إنجازا دبلوماسيا كبيرا.,ذاب,ذَابَ فلانٌ في المجتمع أو الجماعة ونحوهما: اندمج وانخرط فيه.,aljazeera
"أذكر حين قلت لها يوماً: ""كم ستكونين جميلة بالأبيض في اليوم الموعود ولا أدري من سيجمّل الآخر فيكما؟!"" فتبسمت خَجِلة وقالت بعينيها قبل أن تنطق شفتيها: ""أنت من سيُجمّل كلانا!"" ذاب قلبي وشعرت بقلبي يطير نحو الغيوم السابحات في الفضاء لا يحكمه شيء في الدنيا! قبَّلتْ عينيّ عينيها طويلاً والبسمة على شفتينا تبارك اللحظة! كم تمنيت العناق حينها ولا أدري كيف امتنعت، ربما لم يمنعني عنه سوى خوفي على جسدها الرقيق من طوق أضلعي.",ذاب,ذَابَ القلبُ: رقّ وتعذَّبَ.,aljazeera
عند القيام بتجربة على تأثير درجة الحرارة على مادة الملح فاننا نلاحظ كلما زادت درجة الحرارة كلما ذاب الملح بشكل اسرع فالحرارة العالية تساعد في سرعة الذوبان لبعض المواد مثل السكر والملح مقارنة بذوبانهم في درجة حرارة عادية .,ذاب,ذَابَ السكرُ ونحوه: تحلل داخل السائل واختفى.,elmmrr
وفي السياق، ذكر ملحم أن دوام الموظفين العموميين خلال شهر رمضان سيكون من الساعة 9 صباحًا حتى الثانية بعد الظهر.,ذكر,ذَكَرَ فلانٌ الأمرَ: أورده.,arabia weather
حتى لو وصلت إلى سن البلوغ متأخرًا، فمن غير المرجح أن تستمر في الطول بعد سن 18 إلى 20 عامًا! ما هو السن الذي يبدأ فيه نمو طول كل من الذكر والأنثى؟,ذكر,الجنس الذي لا يلد، خلاف الأنثى.,Shifaa
ورويا عن أبي موسى قال: خسفت الشمس فقام النبي ـ صلى الله عليه وسلمـ وقال: (إذا رأيتم شيئًا من ذلك فافزعوا إلى ذكر الله ودعائه واستغفاره).,ذكر,ذِكْر اللهِ: ثناء عليه.,arabia weather
قم بتخصيص وقت محدد للمشي يوميا، واجعله أمرا روتينيا. لكن،‌ لا تقلق بخصوص الأيام الضائعة، سواء كنت تنسى أحيانا أو منعتك وعكة صحية فلا تستسلم. ذكر نفسك بفوائد المشي والشعور الناتج عنه من رضى عن النفس وعد إلى روتينك.,ذكر,أقدره على استرجاعه واستحضاره.,Shifaa
ارتفعت أسعار الذهب عند تسوية تعاملات الخميس، بعد بيانات اقتصادية تزيد التوقعات باقتراب وقف رفع معدلات الفائدة.,ذهب, عنصر فلزي، أصفر اللون,argaam
طفلةٌ فرحَتْ بالصّندوق الخشبيّ، الذي أنزله رجال الإسعاف من السّيارة، ركَضَتْ خلف الصّندوق المحمول على الأكتاف، كانت تقول لهم: انتظروني! أبي أخبرني بأنّه سيرسل إليّ صندوقاً من الهدايا، أخبرني بذلك عندما ذهب إلى مشفى المدينة في مرضه الأخير منذ شهر.,ذهب,انصرف وغادر المكان,alarabi
ذهَّب الصائغُ المعدنَ,ذهب,طلاه وغطاه بالذهب,almaany
اعتدى مجهولون على منزل لرئيسة مجلس النواب الأميركي نانسي بيلوسي في مدينة سان فرانسيسكو بولاية كاليفورنيا، حيث شوهوا مدخل المرآب ببعض الكتابات ووضعوا رأس خنزير ملطّخ بدم مزيف أمامه.,راس,جزء من جسد الانسان و الحيوان,aljazeera
اكتسب الاحتفال برأس السنة الأمازيغية الجديدة -في الآونة الأخيرة- أهمية إضافية باعتباره وسيلة لإرساء حيوية هوية ثقافية,راس,أَول، وبدء,aljazeera
"أرست كل من ""قطر للطاقة"" وشركة شيفرون فيليبس للكيماويات، اليوم الأربعاء، عقد تجهيز الموقع لمشروع راس لفان للبتروكيماويات على ""شركة اتحاد المقاولين"" (CCC).",راس,اسم منطقة، ويأتي مركبا مع كلمة أخرى.,aljazeera
ويشار إلى أن احتياطي الصين، الأكبر في العالم، أظهر تقلبات متوسطة في القيمة هذا العام في ظل استقرار تطبيق القيود على رأس المال، واتخاذ صانعي السياسات إجراءات للعمل على استقرار العملة المتراجعة في قيمتها، بالإضافة إلى التوقعات السيئة بشأن اندلاع حرب تجارية والشعور السلبي المحيط باقتصاد الصين.,راس,أصل,aawsat
قال البابا في رسالة بعث بها اليوم إلى رأس الكنيسة القبطية الأرثوذكسية أن التقدم نحو المصالحة يُعزَّز بالشهادة التي توحد المسيحيين في مواجهة التحديات العالمية المشتركة.,راس,سيد وزعيم,Reverso Dictionary
معاون سابق للمغني آر كيلي أكد أنه رشا موظفاً للزواج من آليا القاصر,رشا,أعطاه رشوة لقضاء مصلحة أو لإبطال حق أو لإحقاق باطل,alaraby
كيفية توبة الموظف المرتشي من الرشا والهدايا,رشا,ما يُعطى بدون حق لقضاء مصلحة أو لإحقاق باطل أو لإبطال حق.,islam online
تقدم لنا الصيدلانية رشا مناصرة في فقرة مفيدة عبر برنامج جوّك بعض النصائح لاستخدام آمن لقربة الماء الساخن، وطرق معالجة الحروق الناتجة عنها,رشا,اسم علم مؤنث ومعناه الظبي أي ابن الغزال,arabia weather
حيوان رشا هو اسم آخر للظبي المعروف أنه من فصيلة الغزلان إلا أنه يتميز عن الغزلان في امتلاكه لقرون طويلة فوق راسه وهو سريع للغايه و يتغذى على النباتات .,رشا,ولد الغزال والظبي الصغير,fekera
كما ان على المشترك استخدام قلم الرصاص فقط في تظليل إجاباته على ورقة الماسح الضوئي، علمًا أن ورقة الماسح الضوئي هي المعتمدة فقط لدى وزارة التربية والتعليم لاحتساب علامة المشترك لأسئلة الاختيار من متعدد.,رصاص,مادة الجرافيت أو الكربون المخلوطة بالطين والتي تستخدم لإنتاج النواة الداخلية لقلم الرصاص,arabia weather
أفادت خدمة المطافئ في نيويورك بارتفاع عدد جرحى إطلاق النار ببروكلين في نيويورك إلى 16، بينهم 8 إصاباتهم مباشرة بالرصاص.,رصاص,جمع كلمة (رَصَاصَة)، طلقة يُرْمَى بها بواسطة آلة كالمسدس ونحوه.,aljazeera
